id,title,year,genre,poster,description,imdb_rating,theatre_ids
12,Breaking Bad,2008,"Crime, Drama, Thriller",http://ia.media-imdb.com/images/M/MV5BMTQ0ODYzODc0OV5BMl5BanBnXkFtZTgwMDk3OTcyMDE@._V1_SX300.jpg,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his familys financial future.,9.5,
13,Doctor Strange,2016,"Action, Adventure, Fantasy",http://ia.media-imdb.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,"After his career is destroyed, a brilliant but arrogant and conceited surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",7.2,
14,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMzI2OTA3OF5BMl5BanBnXkFtZTgwNDg5NjQ0OTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg","The Rebellion makes a risky move to steal the plans to the Death Star, setting up the epic saga to follow.",5.2,"{1,21,41}"
15,Assassins Creed,2016,"Action, Adventure, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTU2MTQwMjU1OF5BMl5BanBnXkFtZTgwMDA5NjU5ODE@._V1_SX300.jpg,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",7.2,"{6,26,46}"
16,Luke Cage,2016,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTcyMzc1MjI5MF5BMl5BanBnXkFtZTgwMzE4ODY2OTE@._V1_SX300.jpg,"Given superstrength and durability by a sabotaged experiment, a wrongly accused man escapes prison to become a superhero for hire.",5.6,"{15,35,55}"
17,The Killer,2023,"Action, Thriller",https://m.media-amazon.com/images/M/MV5BMWI3M2M5ZjQtYmM0Yi00N2Y0LWFhZDQtOGUwYTViM2NmYjE4XkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_.jpg,A skilled assassin finds himself in a deadly game of cat and mouse after a botched job threatens to expose his hidden life.,7.5,
18,Havoc,2022,"Crime, Drama",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPzCLlOWJWanyki9gqY2g9IBewvcW5BVbQKg&s,"After a drug deal goes wrong, a detective finds himself in the middle of a conspiracy involving corrupt politicians and criminal syndicates.",6.8,"{11,31,51}"
19,The Old Guard 2,2024,"Action, Fantasy",https://m.media-amazon.com/images/M/MV5BNDJiZDliZDAtMjc5Yy00MzVhLThkY2MtNDYwNTQ2ZTM5MDcxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,The immortal mercenaries return as they face new threats and challenges while trying to protect their secret.,6.7,"{3,23,43}"
20,A Knives Out Mystery,2023,"Mystery, Comedy",https://m.media-amazon.com/images/M/MV5BYmZlZDZkZjYtNzE5Mi00ODFhLTk2OTgtZWVmODBiZTI4NGFiXkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_FMjpg_UX1000_.jpg,Detective Benoit Blanc is back to solve a new case involving a wealthy family with deep secrets and hidden agendas.,7.1,"{14,34,54}"
21,A Family Affair,2023,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BMDQyMWFkMGMtNjhiMS00MzgyLWFmOGYtNzA3MGNjNGVhMGI4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,A wealthy family reunion is disrupted by hidden agendas and unspoken tensions as secrets come to light.,6.5,"{5,17,25,37,45}"
22,The Out-Laws,2023,"Action, Comedy",https://m.media-amazon.com/images/M/MV5BM2JmMmE0NjYtODUzNS00ZDg2LTk2ZjMtNDBiNjhlMGU2NjJlXkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_.jpg,A mild-mannered bank managers life is turned upside down when his in-laws turn out to be notorious criminals.,6.2,"{4,24,44}"
23,The Promised Land,2023,Drama,https://m.media-amazon.com/images/M/MV5BOTc3YmU2ZWQtZmVkMC00ZTBhLTg5YmYtYWQxMmY5MjUxMzdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_FMjpg_UX1000_.jpg,A dramatic tale of a family struggling to save their ancestral land from corporate exploitation amidst personal turmoil.,7.4,"{12,32,52}"
24,The Girl in the Mirror,2023,"Thriller, Horror",https://m.media-amazon.com/images/M/MV5BMzAwZWMxMzUtOGFmNC00ZjNkLWIwMzMtMmU0M2UzNmE2YmQyXkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_.jpg,A psychological thriller about a woman who starts seeing disturbing reflections in mirrors that lead her to uncover dark secrets about her past.,7,"{16,36}"
25,The Last Voyage of the Demeter,2024,Horror,https://m.media-amazon.com/images/M/MV5BNjM1ZjdjNzQtN2I2ZC00OGVhLTg1MGItMzJkOWMxZWU0MTcyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,"A terrifying voyage about the ill-fated journey of the ship Demeter, which is transporting Dracula? coffin from Transylvania to England.",6.3,"{18,38}"
26,The Night Agent,2023,"Thriller, Action",https://m.media-amazon.com/images/M/MV5BODgzYmFkZjAtYjhmNC00NDdkLTk4NGYtNDdiODVlNmE3ODkyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_FMjpg_UX1000_.jpg,A thrilling story of an FBI agent caught in a web of conspiracy involving the highest echelons of government.,7.8,"{9,20,29,40,49}"
27,The Secret Garden,2023,"Fantasy, Family",https://m.media-amazon.com/images/M/MV5BNzQ4OGU3NjUtOGRiNS00NmFkLWE4MmMtODhiNmJjMjBmZWNjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,A reimagining of the classic story about a young orphan who discovers a magical garden that changes her life.,6.9,"{13,33,53}"
28,The Haunting of Bly Manor,2022,"Horror, Drama",https://m.media-amazon.com/images/M/MV5BZGJkMDRiOWUtZTMzZC00YzYzLWI1NDAtODc4ZGFiN2Q2MmJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,A chilling tale of a young woman who takes a job as a nanny in a mysterious manor with a dark history.,7.3,"{7,27,47}"
29,The Last Kingdom,2023,"History, Drama",https://m.media-amazon.com/images/M/MV5BOTlmNGE0ZGMtMzdkMC00MjQyLWI1ZjgtZTIxODAyNWJlZDFlXkEyXkFqcGdeQXVyNTQ4ODM2NjM@._V1_.jpg,A historical drama following the rise and fall of a king in ancient times as he battles internal and external forces.,8.2,"{10,19,30,39,50}"
30,The Immortal,2023,"Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BZjFiNzA5ODgtMTdjMy00MjM1LThkMTYtMWM1MzM0MzJlMzdlXkEyXkFqcGdeQXVyOTEwNTkyNjE@._V1_.jpg,A suspenseful drama about a man who discovers he has lived for centuries and must confront his past to save his future.,7.2,"{8,28,48}"
31,The Great Escape,2024,"Action, Adventure",https://m.media-amazon.com/images/M/MV5BNDA1ODEyYTYtODQ3My00YWNiLTlmNWEtYjIxMDNkZjRjODE5XkEyXkFqcGdeQXVyNTY5MzQxNjg@._V1_.jpg,An action-packed story about a group of prisoners of war planning a daring escape from a high-security camp.,7.6,"{2,22,42}"
32,Echoes,2024,"Thriller, Crime",https://m.media-amazon.com/images/M/MV5BZGY2ODlkZTUtZWMyYi00YmI2LWI3NGUtNTlhM2E4ZTdiNGI2XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_.jpg,A tense thriller about a detective who uncovers a series of crimes linked to a secretive and wealthy family.,7.4,
33,Undercover,2024,"Action, Spy",https://m.media-amazon.com/images/M/MV5BODZjNDBhZGUtZTAxYi00MzdmLWJkZDMtZDQ0YzE1OWM0MzdkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,An exhilarating spy film about an undercover agent infiltrating a dangerous criminal organization.,7.1,
34,The Ghost Writer,2023,"Thriller, Drama",https://m.media-amazon.com/images/M/MV5BMWRiN2RlOGYtYzAwZi00OTM1LTllZmYtM2ZmMzc3MjNiNmE1XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1000_.jpg,A suspenseful narrative about a ghostwriter who uncovers disturbing secrets about his client while writing their memoirs.,7.3,
